"","gene","vP0_1","vP0_2","vP4_1","vP4_2","vP7_1","vP7_2","vAd_1","vAd_2"
"385","ENSMUSG00002075317.1",0,0,0,0,0,0,0,0
"386","ENSMUSG00002075289.1",0,0,0,0,0,0,0,0
"387","ENSMUSG00000053185.3",0,0,0,0,0,0,0,0
"388","ENSMUSG00000100261.2",1,0,0,1,0,0,0,0
"389","ENSMUSG00000101180.2",0,0,0,0,0,0,0,1
"390","ENSMUSG00000048874.16",1391,2262,1466,1705,1035,1018,1171,953
"391","ENSMUSG00000103783.2",1,7,4,2,1,1,1,0
"392","ENSMUSG00000104315.2",2,5,2,9,4,7,4,3
"393","ENSMUSG00000026064.17",6,4,4,9,8,10,16,9
"394","ENSMUSG00000117310.3",1,4,5,2,2,6,3,7
"395","ENSMUSG00000117091.2",0,0,0,0,0,0,0,0
"396","ENSMUSG00000086726.4",0,0,0,0,0,0,0,0
"397","ENSMUSG00000086727.9",1,0,0,3,1,1,0,2
"398","ENSMUSG00000100237.2",0,0,0,0,0,0,0,0
"399","ENSMUSG00002076113.1",0,0,0,0,0,0,0,0
"400","ENSMUSG00000100910.2",0,1,0,0,0,0,0,0
"401","ENSMUSG00000099796.2",1,2,0,1,0,1,1,1
"402","ENSMUSG00000050217.14",1,0,0,1,1,0,0,0
"403","ENSMUSG00000026063.5",0,0,0,0,0,0,0,0
"404","ENSMUSG00000077664.3",0,0,0,0,0,0,0,0
"405","ENSMUSG00000100205.2",0,0,0,0,0,0,0,0
"406","ENSMUSG00000100592.2",0,0,0,0,0,0,0,0
"407","ENSMUSG00000094215.3",0,0,0,0,0,0,0,0
"408","ENSMUSG00000101093.2",1,0,0,0,0,0,0,0
"409","ENSMUSG00000070960.5",13,6,5,10,0,4,1,6
"410","ENSMUSG00000088620.3",0,0,0,0,0,0,0,0
"411","ENSMUSG00000082159.3",0,0,0,0,0,0,0,0
"412","ENSMUSG00000026058.12",2,3,1,4,0,1,0,0
"413","ENSMUSG00000064688.3",0,0,0,0,0,0,0,0
